,respondent_id,question_id,posttime,ranking,opmerkingen,context_aangeroepen
0,9n2kstf8d2pbqd7n4g91upa6ff,169,2021-07-08 16:29:04,"azure,ibm,google",Ik twijfel tussen nummer 2 en 3,kan niet
1,9n2kstf8d2pbqd7n4g91upa6ff,0,2021-07-09 16:18:07,"google,ibm,azure",Geen extra informatie,Nog niks
2,9n2kstf8d2pbqd7n4g91upa6ff,191,2021-07-09 16:19:27,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
3,9n2kstf8d2pbqd7n4g91upa6ff,177,2021-07-09 16:20:30,"google,azure,ibm",Ik twijfel tussen nummer 2 en 3,Nog niks
4,9n2kstf8d2pbqd7n4g91upa6ff,182,2021-07-09 16:21:31,"google,ibm,azure",Geen extra informatie,Nog niks
5,9n2kstf8d2pbqd7n4g91upa6ff,209,2021-07-09 16:22:30,"google,azure,ibm",Geen extra informatie,Nog niks
6,9n2kstf8d2pbqd7n4g91upa6ff,155,2021-07-09 16:23:38,"google,ibm,azure",Geen extra informatie,Nog niks
7,9n2kstf8d2pbqd7n4g91upa6ff,51,2021-07-09 16:24:44,"google,azure,ibm",Ik twijfel tussen nummer 2 en 3,Nog niks
8,9n2kstf8d2pbqd7n4g91upa6ff,57,2021-07-09 16:25:52,"azure,google,ibm",Ik vind dat ze alle 3 even goed zijn,Nog niks
9,9n2kstf8d2pbqd7n4g91upa6ff,14,2021-07-09 16:27:04,"google,ibm,azure",Geen extra informatie,Nog niks
10,9n2kstf8d2pbqd7n4g91upa6ff,91,2021-07-09 16:27:54,"google,azure,ibm",Ik twijfel tussen nummer 2 en 3,Nog niks
11,9n2kstf8d2pbqd7n4g91upa6ff,115,2021-07-09 16:29:56,"azure,google,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
12,9n2kstf8d2pbqd7n4g91upa6ff,95,2021-07-09 16:30:46,"google,azure,ibm",Geen extra informatie,kan niet
13,9n2kstf8d2pbqd7n4g91upa6ff,110,2021-07-09 16:34:24,"azure,ibm,google",Geen extra informatie,Nog niks
14,9n2kstf8d2pbqd7n4g91upa6ff,192,2021-07-09 16:35:50,"azure,google,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
15,9n2kstf8d2pbqd7n4g91upa6ff,38,2021-07-09 17:27:28,"google,ibm,azure",Geen extra informatie,context nodig
16,9n2kstf8d2pbqd7n4g91upa6ff,134,2021-07-09 17:27:55,"ibm,azure,google",Ik twijfel tussen nummer 1 en 2,Nog niks
17,9n2kstf8d2pbqd7n4g91upa6ff,65,2021-07-09 17:28:29,"azure,ibm,google",Ik twijfel tussen nummer 1 en 2,kan niet
18,9n2kstf8d2pbqd7n4g91upa6ff,98,2021-07-09 17:29:08,"google,azure,ibm",Geen extra informatie,Nog niks
19,9n2kstf8d2pbqd7n4g91upa6ff,87,2021-08-13 10:36:52,"ibm,google,azure",Geen extra informatie,kan niet
20,9n2kstf8d2pbqd7n4g91upa6ff,85,2021-08-13 10:37:51,"google,azure,ibm",Geen extra informatie,Nog niks
21,9n2kstf8d2pbqd7n4g91upa6ff,21,2021-08-13 10:38:50,"google,azure,ibm",Geen extra informatie,Nog niks
22,9n2kstf8d2pbqd7n4g91upa6ff,81,2021-08-13 10:39:26,"azure,google,ibm",Geen extra informatie,kan niet
23,9n2kstf8d2pbqd7n4g91upa6ff,157,2021-08-13 10:40:11,"google,azure,ibm",Ik vind dat ze alle 3 even goed zijn,kan niet
24,9n2kstf8d2pbqd7n4g91upa6ff,123,2021-08-13 11:25:19,"ibm,google,azure",Geen extra informatie,kan niet
25,9n2kstf8d2pbqd7n4g91upa6ff,86,2021-08-13 11:26:02,"google,azure,ibm",Geen extra informatie,Nog niks
26,9n2kstf8d2pbqd7n4g91upa6ff,60,2021-08-13 11:27:08,"google,azure,ibm",Geen extra informatie,Nog niks
27,9n2kstf8d2pbqd7n4g91upa6ff,210,2021-08-13 11:28:39,"google,ibm,azure",Geen extra informatie,Nog niks
28,9n2kstf8d2pbqd7n4g91upa6ff,106,2021-08-13 11:29:23,"google,azure,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
29,9n2kstf8d2pbqd7n4g91upa6ff,3,2021-08-13 11:30:07,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,kan niet
30,9n2kstf8d2pbqd7n4g91upa6ff,26,2021-08-13 11:31:37,"ibm,google,azure",Geen extra informatie,kan niet
31,9n2kstf8d2pbqd7n4g91upa6ff,172,2021-08-13 11:37:48,"google,ibm,azure",Geen extra informatie,Nog niks
32,9n2kstf8d2pbqd7n4g91upa6ff,105,2021-08-13 11:38:11,"google,ibm,azure",Geen extra informatie,kan niet
33,9n2kstf8d2pbqd7n4g91upa6ff,25,2021-08-13 11:48:15,"google,azure,ibm",Ik vind dat ze alle 3 even goed zijn,Nog niks
34,9n2kstf8d2pbqd7n4g91upa6ff,66,2021-08-13 11:49:23,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,kan niet
35,9n2kstf8d2pbqd7n4g91upa6ff,11,2021-08-13 12:08:43,"google,azure,ibm",Geen extra informatie,Nog niks
36,9n2kstf8d2pbqd7n4g91upa6ff,111,2021-08-13 12:09:24,"google,azure,ibm",Geen extra informatie,kan niet
37,9n2kstf8d2pbqd7n4g91upa6ff,138,2021-08-13 12:18:06,"azure,google,ibm",Ik vind dat ze alle 3 even goed zijn,Nog niks
38,9n2kstf8d2pbqd7n4g91upa6ff,122,2021-08-13 12:19:25,"ibm,google,azure",Geen extra informatie,Nog niks
39,9n2kstf8d2pbqd7n4g91upa6ff,96,2021-08-13 14:55:49,"ibm,google,azure",Ik twijfel tussen nummer 1 en 2,Nog niks
40,9n2kstf8d2pbqd7n4g91upa6ff,36,2021-08-13 15:03:23,"google,azure,ibm",Geen extra informatie,Nog niks
41,9n2kstf8d2pbqd7n4g91upa6ff,145,2021-08-13 15:04:17,"ibm,azure,google",Geen extra informatie,Nog niks
42,9n2kstf8d2pbqd7n4g91upa6ff,72,2021-08-16 11:19:59,"ibm,google,azure",Geen extra informatie,context nodig
43,9n2kstf8d2pbqd7n4g91upa6ff,201,2021-08-16 11:21:16,"ibm,google,azure",Ik twijfel tussen nummer 2 en 3,kan niet
44,9n2kstf8d2pbqd7n4g91upa6ff,193,2021-08-16 14:12:21,"ibm,google,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
45,9n2kstf8d2pbqd7n4g91upa6ff,61,2021-08-16 14:12:43,"google,ibm,azure",Geen extra informatie,kan niet
46,9n2kstf8d2pbqd7n4g91upa6ff,47,2021-08-16 14:13:16,"google,ibm,azure",Geen extra informatie,Nog niks
47,9n2kstf8d2pbqd7n4g91upa6ff,207,2021-08-16 15:31:43,"google,azure,ibm",Geen extra informatie,Nog niks
48,9n2kstf8d2pbqd7n4g91upa6ff,89,2021-08-16 15:32:23,"google,azure,ibm",Ik vind dat ze alle 3 even goed zijn,kan niet
49,9n2kstf8d2pbqd7n4g91upa6ff,185,2021-08-16 15:33:00,"azure,google,ibm",Geen extra informatie,kan niet
50,9n2kstf8d2pbqd7n4g91upa6ff,68,2021-08-16 15:49:52,"google,ibm,azure",Geen extra informatie,Nog niks
51,9n2kstf8d2pbqd7n4g91upa6ff,50,2021-08-16 15:52:02,"azure,google,ibm",Geen extra informatie,Nog niks
52,9n2kstf8d2pbqd7n4g91upa6ff,94,2021-08-16 15:56:25,"google,azure,ibm",Geen extra informatie,Nog niks
53,9n2kstf8d2pbqd7n4g91upa6ff,196,2021-08-16 15:57:17,"google,azure,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
54,9n2kstf8d2pbqd7n4g91upa6ff,211,2021-08-16 16:07:33,"azure,google,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
55,9n2kstf8d2pbqd7n4g91upa6ff,44,2021-08-16 16:08:17,"google,ibm,azure",Geen extra informatie,Nog niks
56,9n2kstf8d2pbqd7n4g91upa6ff,67,2021-08-16 16:09:09,"azure,google,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
57,9n2kstf8d2pbqd7n4g91upa6ff,171,2021-08-16 16:10:47,"azure,google,ibm",Ik twijfel tussen nummer 1 en 2,kan niet
58,9n2kstf8d2pbqd7n4g91upa6ff,32,2021-08-16 16:13:19,"google,azure,ibm",Ik twijfel tussen nummer 1 en 2,kan niet
59,9n2kstf8d2pbqd7n4g91upa6ff,178,2021-08-16 16:14:30,"google,ibm,azure",Geen extra informatie,Nog niks
60,9n2kstf8d2pbqd7n4g91upa6ff,46,2021-08-16 16:14:48,"google,ibm,azure",Geen extra informatie,Nog niks
61,9n2kstf8d2pbqd7n4g91upa6ff,6,2021-08-16 16:15:21,"ibm,google,azure",Geen extra informatie,kan niet
62,9n2kstf8d2pbqd7n4g91upa6ff,78,2021-08-16 16:15:46,"azure,google,ibm",Geen extra informatie,kan niet
63,9n2kstf8d2pbqd7n4g91upa6ff,163,2021-08-16 16:27:12,"google,azure,ibm",Geen extra informatie,Nog niks
64,9n2kstf8d2pbqd7n4g91upa6ff,166,2021-08-16 16:28:11,"azure,google,ibm",Ik vind dat ze alle 3 even goed zijn,Nog niks
65,9n2kstf8d2pbqd7n4g91upa6ff,124,2021-08-16 16:29:00,"google,ibm,azure",Geen extra informatie,Nog niks
66,9n2kstf8d2pbqd7n4g91upa6ff,104,2021-08-16 16:29:33,"google,ibm,azure",Geen extra informatie,kan niet
67,9n2kstf8d2pbqd7n4g91upa6ff,184,2021-08-16 16:30:22,"ibm,google,azure",Ik vind dat ze alle 3 even goed zijn,kan niet
68,9n2kstf8d2pbqd7n4g91upa6ff,160,2021-08-16 16:31:34,"google,ibm,azure",Ik twijfel tussen nummer 1 en 2,Nog niks
69,9n2kstf8d2pbqd7n4g91upa6ff,208,2021-08-16 16:32:29,"google,azure,ibm",Ik twijfel tussen nummer 1 en 2,Nog niks
70,9n2kstf8d2pbqd7n4g91upa6ff,64,2021-08-16 16:33:00,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
71,9n2kstf8d2pbqd7n4g91upa6ff,20,2021-08-16 16:33:31,"azure,google,ibm",Geen extra informatie,kan niet
72,9n2kstf8d2pbqd7n4g91upa6ff,179,2021-08-16 16:36:54,"google,azure,ibm",Geen extra informatie,Nog niks
73,9n2kstf8d2pbqd7n4g91upa6ff,33,2021-08-16 16:37:20,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,kan niet
