,respondent_id,question_id,posttime,ranking,opmerkingen,context_aangeroepen
0,a09c17eef175ae3b86eba77d82b24b17,169,2021-10-12 17:25:53,"azure,ibm,google",Geen extra informatie,kan niet
1,a09c17eef175ae3b86eba77d82b24b17,34,2021-10-12 17:26:45,"ibm,azure,google",Geen extra informatie,kan niet
2,a09c17eef175ae3b86eba77d82b24b17,154,2021-10-12 17:27:34,"ibm,google,azure",Geen extra informatie,kan niet
3,a09c17eef175ae3b86eba77d82b24b17,132,2021-10-12 17:28:40,"ibm,google,azure",Ik twijfel tussen nummer 1 en 2,Nog niks
4,a09c17eef175ae3b86eba77d82b24b17,30,2021-10-12 17:28:53,"azure,google,ibm",Geen extra informatie,Nog niks
5,a09c17eef175ae3b86eba77d82b24b17,73,2021-10-12 17:29:34,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
6,a09c17eef175ae3b86eba77d82b24b17,147,2021-10-12 17:30:04,"google,azure,ibm",Geen extra informatie,kan niet
7,a09c17eef175ae3b86eba77d82b24b17,183,2021-10-12 17:30:26,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
8,a09c17eef175ae3b86eba77d82b24b17,88,2021-10-12 17:31:27,"google,azure,ibm",Geen extra informatie,Nog niks
9,a09c17eef175ae3b86eba77d82b24b17,113,2021-10-12 17:31:38,"google,ibm,azure",Geen extra informatie,kan niet
10,a09c17eef175ae3b86eba77d82b24b17,10,2021-10-12 17:32:24,"google,ibm,azure",Geen extra informatie,Nog niks
11,a09c17eef175ae3b86eba77d82b24b17,31,2021-10-12 17:32:57,"google,azure,ibm",Geen extra informatie,Nog niks
12,a09c17eef175ae3b86eba77d82b24b17,119,2021-10-12 17:33:33,"ibm,google,azure",Ik vind dat ze alle 3 even goed zijn,kan niet
13,b53c9ef555d96acbdc62722ec340dfe7,138,2021-12-14 10:39:10,"ibm,google,azure",Ik twijfel tussen nummer 1 en 2,context nodig
14,b53c9ef555d96acbdc62722ec340dfe7,195,2021-12-14 10:39:49,"google,azure,ibm",Geen extra informatie,kan niet
15,b53c9ef555d96acbdc62722ec340dfe7,41,2021-12-14 10:40:18,"google,ibm,azure",Geen extra informatie,kan niet
16,b53c9ef555d96acbdc62722ec340dfe7,111,2021-12-14 10:40:53,"google,azure,ibm",Geen extra informatie,kan niet
17,b53c9ef555d96acbdc62722ec340dfe7,10,2021-12-14 10:42:11,"ibm,google,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
18,b53c9ef555d96acbdc62722ec340dfe7,193,2021-12-14 10:42:48,"google,azure,ibm",Ik vind dat ze alle 3 even goed zijn,context nodig
19,b53c9ef555d96acbdc62722ec340dfe7,93,2021-12-14 10:43:31,"ibm,azure,google",Ik twijfel tussen nummer 1 en 2,Nog niks
20,b53c9ef555d96acbdc62722ec340dfe7,42,2021-12-14 10:44:05,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,kan niet
21,ef742751b01baf542d0353a139c8b153,1,2021-12-14 10:44:33,"azure,ibm,google",Geen extra informatie,Nog niks
22,b53c9ef555d96acbdc62722ec340dfe7,197,2021-12-14 10:44:43,"google,ibm,azure",Ik twijfel tussen nummer 2 en 3,Nog niks
23,b53c9ef555d96acbdc62722ec340dfe7,15,2021-12-14 10:44:56,"ibm,google,azure",Geen extra informatie,kan niet
24,b53c9ef555d96acbdc62722ec340dfe7,66,2021-12-14 10:45:20,"azure,ibm,google",Geen extra informatie,kan niet
25,ef742751b01baf542d0353a139c8b153,92,2021-12-14 10:45:30,"google,azure,ibm",Geen extra informatie,context nodig
26,b53c9ef555d96acbdc62722ec340dfe7,121,2021-12-14 10:46:07,"google,ibm,azure",Geen extra informatie,Nog niks
